sample name,sample type,time point,replicate,5methylthioadenosine,5deoxyadenosine,pyridoxine,adenosine,biotin,choline,riboflavin,guanine,cytidine,betaine,thiamine,trigonelline,carnitine,glutathione,NAD,indole-3-pyruvic acid,lumichrome,5-hydroxyindoleacetic acid,indole-3-acetic acid,4-hydroxybenzoic acid,dethiobiotin,pyrrole-2-carboxylic acid,salicylic acid,2-methylmaleic acid,adenine,xanthine,4-pyridoxic acid,hypoxanthine,N-acetyl-leucine,pterin,2-oxovaleric acid,formyl-methionyl peptide,inosine,nicotinic acid,34-hydroxyphenyl lactic acid,n-acetyl-tryptophan,N-acetyl-glucosamine,pantothenic acid,4-hydroxy-2-quinolinecarboxylic acid,phenylalanine,leucine,isoleucine,proline,tyrosine,shikimic acid,N-methyl-glutamic acid,adenosine 5monophosphoric acid,galacturonic acid,glutamic acid,carnosine
extr-ctrl--extr-ctrl--1,extr,ctrl,1,43735.50781,24186.11719,1840417.575,1114619.875,0.0,21546040.0,0.0,207812.8438,61936.11719,20123186.0,0.0,116838.1953,55555.65625,0.0,20784.59766,0.0,231466.8125,22230.15625,0.0,578694.75,0.0,58658.37109,896746.875,1785636.375,214385.1563,552667.9375,52949.23828,221054.2656,59402.83984,18754.39258,92804.13281,0.0,296748.4688,77722.61719,35876.58594,0.0,23195.00391,121647.9844,51439.04688,98904.10938,46244.64844,46686.00391,8369.826172,17907.49219,53041.96484,12969.05078,0.0,23618.78125,156445.4219,0.0
extr-ctrl--extr-ctrl--2,extr,ctrl,2,23201.14648,61985.05078,1528388.108,454730.4063,0.0,3907769.75,0.0,103851.8672,22642.12305,11020883.0,0.0,42934.66016,38288.84375,0.0,0.0,0.0,72096.16406,0.0,0.0,272153.125,0.0,34793.45703,385532.2188,205900.5313,98540.83594,231310.0625,29642.83398,151756.4375,34702.68359,0.0,66901.52344,0.0,0.0,56210.89453,29134.65625,0.0,19225.32617,47442.18359,41165.71875,21173.9375,15594.30762,17440.16016,0.0,12270.08008,45804.39453,13697.84473,0.0,21559.99414,117950.4609,0.0
extr-ctrl--extr-ctrl--3,extr,ctrl,3,19565.41016,230528.9531,7423320.781,1220382.875,0.0,8285710.5,0.0,225085.6563,44020.88672,12104310.0,0.0,606323.5,70224.28906,0.0,0.0,0.0,199336.5938,21036.24023,0.0,719296.4375,0.0,55052.54297,1098520.875,1739480.5,165945.6563,508936.9063,39853.87109,118993.2344,46057.42188,17480.12109,85413.78125,0.0,131278.5156,51301.15234,86659.14844,0.0,18028.25781,67195.16406,54541.51953,185457.9531,171679.1719,114899.0547,34547.99609,101093.4453,49092.64844,13667.40039,0.0,28309.66211,482799.375,9777.824219
extr-ctrl--extr-ctrl--4,extr,ctrl,4,58066.94922,693642.75,1895585.6469999999,1318870.5,0.0,2463239.75,0.0,348981.0625,71352.21094,12116511.0,12984.29688,72343.30469,171813.5469,17669.2793,32448.30078,0.0,162150.7813,39819.89844,0.0,562997.875,0.0,59134.67578,816090.3125,1819526.0,314301.0625,153456.9063,32454.55273,147149.0313,46189.05078,25420.07813,97036.16406,0.0,245777.9063,64375.94141,254362.2656,0.0,20680.03125,61848.55078,59619.19922,60115.63281,37534.00781,30795.61523,13016.032229999999,21830.72852,59177.46484,12272.47461,0.0,36803.99609,141959.4531,6938.923828
exudate-0d-1,exudate,0d,1,490552.0938,164562.1875,1067422.883,11241102.0,3944673.25,173256.4219,50135.57422,57742.375,17287.08008,11217865.0,77044.96875,20074.56641,24718.06836,0.0,20503.93555,38165.41016,1467311.25,52814.1875,133703.0313,1343865.5,74684.90625,45330.66406,11387909.0,2047213.875,221985.3438,69512.78125,140971.5313,99180.6875,58585.63672,0.0,88573.04688,0.0,85678.67969,47524.88281,89004.625,0.0,12711.157229999999,90088.91406,130925.5313,62221.23047,17299.5,13978.5498,8468.052734,10292.12891,55007.08203,15793.740230000001,0.0,23111.52539,111719.25,14536.4541
exudate-0d-2,exudate,0d,2,875319.75,166308.3281,855558.1094,13859303.0,5197977.0,350378.7188,37401.85938,68324.57813,28872.11133,11934351.0,65843.60156,29355.04297,27055.066410000003,0.0,18425.47656,87557.11719,1860589.125,47641.20313,146081.5625,1659466.125,75528.24219,50878.21484,15118690.0,2539378.5,226128.25,88973.63281,174371.25,102497.3125,61911.6875,0.0,105255.4141,0.0,71179.05469,52922.40234,115031.8516,15596.22266,17290.77344,79966.44531,131103.5781,91487.14063,18309.81445,16464.17383,8894.646484,17724.78906,52599.76172,14636.34082,0.0,21088.98438,139848.6563,0.0
exudate-0d-3,exudate,0d,3,210676.4844,127671.2266,253707.1924,651191.375,156911.2344,2205357.5,0.0,152767.7188,32415.26953,11141558.0,0.0,82373.5,48116.60547,0.0,15902.30957,156214.5469,988038.625,61113.09766,0.0,378963.0,22699.5,47118.68359,7682190.5,185073.0781,137757.5781,229599.9219,36720.48047,104357.8984,38618.47266,19338.3457,97413.67969,0.0,0.0,46194.58594,34627.19141,0.0,21127.57813,43054.09375,54848.171879999994,29858.79883,22909.50977,22186.11914,11405.938479999999,13234.47168,50415.17188,16855.83008,0.0,21536.46289,148945.1563,8905.548828
exudate-0d-4,exudate,0d,4,436794.4375,170342.7656,382942.5156,13045116.0,3450268.75,367452.5938,50027.85156,102823.2344,21782.8125,12145973.0,46303.1875,36828.62109,29449.4668,0.0,17727.04492,146048.9219,2234152.25,78349.69531,126402.5234,2920912.0,109459.8203,74904.28906,16351994.0,2503678.5,194689.9063,85686.08594,160676.1094,90385.69531,56554.02344,0.0,117030.5625,0.0,217010.3906,76112.65625,141527.875,0.0,0.0,109968.7344,147493.6875,75387.52344,18830.53711,23779.88672,10592.22168,15394.66504,52080.66406,17060.85352,0.0,25635.97852,101868.2969,0.0
exudate-12d-1,exudate,12d,1,312974400.0,25795676.0,10205071.09,487041760.0,26047420.0,1923366.625,299130.5313,1819887.625,292024.1563,11979367.0,368839.6875,56627.296879999994,98518.83594,0.0,0.0,20334108.0,157648528.0,12145915.0,8951045.0,147684720.0,7281106.0,2624357.5,98139424.0,3725279.5,30310732.0,129925.5547,16516759.0,1035597.063,1623575.875,67833.39844,43698496.0,5001695.5,201994.8281,304724.625,15393714.0,1497854.25,196094.5313,30851248.0,34893072.0,1095055.75,41189.85156,34914.48828,18147.5625,19682.43359,70960.19531,17282.40039,0.0,82275.39063,164345.0156,6511.468261999999
exudate-12d-2,exudate,12d,2,310464448.0,11910406.0,62554946.66,400565184.0,22311692.0,1311700.5,448528.8125,10516606.0,728203.75,11987389.0,1141089.375,39659.50391,271525.875,0.0,0.0,28264178.0,200719552.0,3023155.5,14210034.0,147914192.0,9080440.0,1369587.125,85564312.0,9164709.0,106217672.0,435933.8438,11100565.0,14669115.0,1711307.25,65956.0,37346164.0,4588843.5,317711.875,603760.0625,10952307.0,727940.5,430178.5625,24796286.0,42083592.0,1776595.5,43981.85547,36340.13281,24826.875,17720.91016,2138747.25,64854.55469,0.0,167747.2188,147482.8438,7984.304198999999
exudate-12d-3,exudate,12d,3,273161216.0,12042592.0,34588783.14,419381440.0,16718148.0,1686609.625,425081.6563,8282670.0,424704.3125,11380169.0,1194261.75,42477.25781,227472.3125,0.0,0.0,53718472.0,173569568.0,7632433.0,15191520.0,157728912.0,6332539.5,1376778.375,99576312.0,7548247.5,101916224.0,482207.0938,9609976.0,8962711.0,1616434.125,58513.38281,46385952.0,3850237.5,230975.7813,469883.625,9498560.0,740713.5,388638.375,21863766.0,38111516.0,2118694.0,51069.0,39325.48828,16553.90625,20183.45117,2250536.75,43183.16797,0.0,135934.0469,144954.6719,17604.42969
exudate-12d-4,exudate,12d,4,270553248.0,7425184.5,77784389.33,333847904.0,23793070.0,2261540.5,573188.9375,12449629.0,862962.75,12202737.0,1767454.875,87528.26563,486873.0,11243.60254,14252.73926,35300896.0,190868144.0,199833.8281,12029510.0,134091960.0,7923445.5,977005.8125,45161812.0,12903401.0,116468368.0,666052.625,5963966.0,16951600.0,1975652.25,101472.9063,32717944.0,4480527.0,256319.0938,549336.0,9764950.0,593404.4375,1034511.063,27128216.0,39816280.0,2610440.25,65094.75391,64746.74609,31519.26367,41816.51953,2548965.0,74051.10938,0.0,292806.0,225116.25,14296.24805
exudate-3d-1,exudate,3d,1,14372192.0,1109279.625,936650.6152,27890058.0,6222410.5,573759.4375,133381.0625,92033.96875,48814.88281,11372499.0,54911.36719,25235.50391,30039.40625,13537.113280000001,26260.67188,85133.64844,13059999.0,113926.0938,211290.0625,6179428.0,653950.9375,71592.92969,18964802.0,2648127.5,740672.4375,86978.57031,556285.375,92149.57031,123938.7109,0.0,160251.1719,86290.76563,117991.1953,70888.57813,165222.9844,16478.19531,20178.82031,158562.4688,643412.75,366025.9375,20443.75586,24929.07813,13600.166019999999,13207.58398,53498.15234,12718.3584,0.0,22122.125,139703.9219,5599.67627
