group	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_extr-ctrl--extr-ctrl-_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_extr-ctrl--extr-ctrl-_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_extr-ctrl--extr-ctrl-_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_extr-ctrl--extr-ctrl-_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_exudate-0d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_exudate-0d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_exudate-0d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_exudate-0d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_exudate-12d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_exudate-12d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_exudate-12d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_exudate-12d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_exudate-3d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_exudate-3d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_exudate-3d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_exudate-3d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_exudate-6d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_exudate-6d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_exudate-6d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_exudate-6d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_exudate-9d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_exudate-9d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_exudate-9d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_exudate-9d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_exudate-med-ctrl-_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_exudate-med-ctrl-_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_exudate-med-ctrl-_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_exudate-med-ctrl-_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_pellet-0d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_pellet-0d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_pellet-0d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_pellet-0d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_pellet-12d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_pellet-12d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_pellet-12d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_pellet-12d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_pellet-3d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_pellet-3d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_pellet-3d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_pellet-3d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_pellet-6d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_pellet-6d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_pellet-6d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_pellet-6d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_pellet-9d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_pellet-9d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_pellet-9d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_pellet-9d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_pellet-med-ctrl-_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_pellet-med-ctrl-_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_pellet-med-ctrl-_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_pellet-med-ctrl-_
file	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_2_extr-ctrl--extr-ctrl-_2_IR02_NA_176.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_1_extr-ctrl--extr-ctrl-_1_IR02_NA_083.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_3_extr-ctrl--extr-ctrl-_3_NA_011.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_4_extr-ctrl--extr-ctrl-_4_IR02_NA_056.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_12_exudate-0d_4_NA_017.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_11_exudate-0d_3_IR02_NA_092.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_9_exudate-0d_1_IR02_NA_122.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_10_exudate-0d_2_IR02_NA_086.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_25_exudate-12d_1_IR02_NA_110.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_27_exudate-12d_3_NA_026.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_26_exudate-12d_2_IR02_NA_068.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_28_exudate-12d_4_IR02_NA_047.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_15_exudate-3d_3_IR02_NA_179.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_16_exudate-3d_4_IR02_NA_035.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_13_exudate-3d_1_IR02_NA_104.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_14_exudate-3d_2_IR02_NA_161.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_19_exudate-6d_3_IR02_NA_071.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_20_exudate-6d_4_IR02_NA_128.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_18_exudate-6d_2_IR02_NA_113.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_17_exudate-6d_1_IR02_NA_167.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_22_exudate-9d_2_IR02_NA_077.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_24_exudate-9d_4_IR02_NA_146.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_23_exudate-9d_3_IR02_NA_029.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_21_exudate-9d_1_NA_020.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_8_exudate-med-ctrl-_4_IR02_NA_065.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_5_exudate-med-ctrl-_1_IR02_NA_149.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_7_exudate-med-ctrl-_3_IR02_NA_032.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_6_exudate-med-ctrl-_2_IR02_NA_152.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_35_pellet-0d_3_IR02_NA_119.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_36_pellet-0d_4_NA_023.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_33_pellet-0d_1_IR02_NA_089.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_34_pellet-0d_2_IR02_NA_134.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_51_pellet-12d_3_IR02_NA_059.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_50_pellet-12d_2_IR02_NA_131.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_49_pellet-12d_1_IR02_NA_143.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_52_pellet-12d_4_IR02_NA_164.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_38_pellet-3d_2_IR02_NA_038.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_39_pellet-3d_3_IR02_NA_116.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_37_pellet-3d_1_IR02_NA_098.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_40_pellet-3d_4_IR02_NA_155.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_44_pellet-6d_4_IR02_NA_044.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_42_pellet-6d_2_IR02_NA_080.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_41_pellet-6d_1_IR02_NA_053.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_43_pellet-6d_3_IR02_NA_137.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_48_pellet-9d_4_IR02_NA_050.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_47_pellet-9d_3_IR02_NA_062.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_46_pellet-9d_2_IR02_NA_095.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_45_pellet-9d_1_IR02_NA_158.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_30_pellet-med-ctrl-_2_NA_014.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_32_pellet-med-ctrl-_4_IR02_NA_101.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_29_pellet-med-ctrl-_1_IR02_NA_125.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_31_pellet-med-ctrl-_3_IR02_NA_170.h5
0000_indole-3-pyruvic_acid_negative_M-H202p0509_0p84					146048.9219	156214.5469	38165.41016	87557.11719	20334108	53718472	28264178	35300896	72959.46094	125831.3047	85133.64844	139770.7969	610317.875	10178057	1138335.75	1438391.125	9831115	9473965	6969740	6795900.5	97010.21875	83766.97656	74704.83594	80427.02344	49755.50391	26679.00781	71355.73438	37886.92969	13794454	6026851	6470270.5	4334246	34967.72266	51421.44141	55185.99219	36757.43359	45240.10547	81731.21875	136805.0156	54668.07422	1172175.625	1198342.25	1285881.125	1602520.125	23097.89648	22598.56836	21921.78906	26869.18164
0001_lumichrome_negative_M-H241p0731_0p88	72096.16406	231466.8125	199336.5938	162150.7813	2234152.25	988038.625	1467311.25	1860589.125	157648528	173569568	200719552	190868144	13805393	13752188	13059999	12656172	81932856	54933164	87577728	82978488	182821216	150837312	186417888	141510704	249966.0469	175971.6719	115082.2578	169374.7031	171396.4531	197457.6406	214671.0469	139407.625	8121775.5	3889832.25	1783234.875	3849262.5	500014.875	464594.6875	756316.625	526338.875	895445.375	1054982.5	1210017.625	1062150.375	2480702.75	2590733.75	3963927.75	2209328.25	196105.75	139719.7813	137582.9375	250414.6406
0002_5-hydroxyindoleacetic_acid_negative_M-H190p0509_0p93		22230.15625	21036.24023	39819.89844	78349.69531	61113.09766	52814.1875	47641.20313	12145915	7632433	3023155.5	199833.8281	49167.08594	51477.58984	113926.0938	61950.87891	702465.6875	156188.7031	577204.75	321412.875	5786818.5	356105.5938	6435831.5	3427053		40955.25781		37898.53516	48467.36719	40353.62109	27717.81641	21027.7793	85484.27344	119944.0625	74093.11719	39155.04297	43590.74609	73994.73438	54789.48047	27625.14063	387738.5938	31561.14648	367998.2188	76340.98438	360015.0938	166785.8438	112692.6406	144027.125	28126.82617	17635.00977		52618.89453
0003_indole-3-acetic_acid_negative_M-H174p0560_1p17					126402.5234		133703.0313	146081.5625	8951045	15191520	14210034	12029510	217108.5156	213450.0938	211290.0625	152580.5156	1985323.5	1204633.25	1148512.375	1196034.625	3523488.75	5807616	7603714.5	3934309.5	69505.20313	53938.58203		87228.125				30271.66797	1481298	822028.5	457190.5	405271.5625							30610.04492		133332.8906	122478.875	131423.6719	92341.46094				
0005_4-hydroxybenzoic_acid_negative_M-H137p0244_1p43	272153.125	578694.75	719296.4375	562997.875	2920912	378963	1343865.5	1659466.125	147684720	157728912	147914192	134091960	6115786.5	5728746.5	6179428	7122249	37678480	31829232	31854272	31136302	134657936	110377376	113040520	124008768	1196808	1101251.5	389076.125	1075868.75	504702.5313	446882.2188	549560.25	420402.0938	756776.9375	4116404	3112627	7766302.5	966585.5	875059.875	1369624.625	979572.0625	1326279.5	1120061	1391260.875	1383470.875	2365981.25	2022477.5	3465335.5	1780099.625	559540.875	401185.3125	322544.5313	427002.9375
0006_dethiobiotin_negative_M-H213p1244_1p66					109459.8203	22699.5	74684.90625	75528.24219	7281106	6332539.5	9080440	7923445.5	792350.6875	646531.375	653950.9375	511977.6563	3073958.5	277319.75	2474636.25	3265642.5	6308952.5	5428560	6990055	6014805.5				39674.36719			20671.61133	17808.77148	61083.80859			23974.91602		42503.44141	40514.16797	28594.83008	126028.3672	101086.1328	135270.7344	146703.9531	48892.83203	37268.11328						
0007_pyrrole-2-carboxylic_acid_negative_M-H110p0247_1p86	34793.45703	58658.37109	55052.54297	59134.67578	74904.28906	47118.68359	45330.66406	50878.21484	2624357.5	1376778.375	1369587.125	977005.8125	52227.66797	82320.41406	71592.92969	76025.35156	419670.7188	252588.9844	332211.3438	345722.5	1946548.625	686595	991782.5625	1415665.625	59274.67969	51420.34375	63027.22266	47329.45703	43431.875	40368.45313	48093.10938	42136.63281	740165.5	110603.3281	90831.90625	146807.375	47315.25781	43879.73047	56901.46875	42038.22266	163660.2656	72643.35156	82679.07813	194974.625	122328.4766	156661.9688	104698.8438	66104.88281	46080.55859	40083.65625	48194.5625	35961.25
0008_salicylic_acid_negative_M-H137p0244_1p87	385532.2188	896746.875	1098520.875	816090.3125	16351994	7682190.5	11387909	15118690	98139424	99576312	85564312	45161812	13887408	21133554	18964802	11237139	45176808	132337048	48069584	44241684	70961344	31842298	105829432	63645340	26662508	21939168	6384815.5	46909588	1324756.625	802558.25	7967215.5	913197.5625	28609092	54378264	57441900	9338222	1418966.875	1003805.813	1022585.375	1272085.375	27947394	10315288	6436978	30556460	47244640	43957336	45904328	51227316	2156951.25	689255.625	408183.1875	551511.125
0009_2-methylmaleic_acid_negative_M-H129p0193_1p90	205900.5313	1785636.375	1739480.5	1819526	2503678.5	185073.0781	2047213.875	2539378.5	3725279.5	7548247.5	9164709	12903401	1821357.875	2868817.75	2648127.5	2120796	2959703.5	2302132	3216579.5	2105093.75	8154217	1578302.625	2141857.5	7023957	2708758.5	2101271.75	142241.875	2772313	1712314.75	1587231.375	3200804.75	1366366.125	2295410	1426786.375	1371267.25	1602538.625	3363441.75	3232958	3648336.75	3493345.75	3506451	2474533.5	2671471.5	4335353	2336115	1961410.25	1117791	1532113.875	1750178.375	1311727.125	1211891.125	2225286.25
