	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_extr-ctrl--extr-ctrl-_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_extr-ctrl--extr-ctrl-_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_extr-ctrl--extr-ctrl-_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_extr-ctrl--extr-ctrl-_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_exudate-0d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_exudate-0d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_exudate-0d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_exudate-0d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_exudate-12d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_exudate-12d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_exudate-12d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_exudate-12d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_exudate-3d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_exudate-3d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_exudate-3d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_exudate-3d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_exudate-6d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_exudate-6d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_exudate-6d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_exudate-6d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_exudate-9d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_exudate-9d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_exudate-9d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_exudate-9d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_exudate-med-ctrl-_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_exudate-med-ctrl-_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_exudate-med-ctrl-_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_exudate-med-ctrl-_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_pellet-0d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_pellet-0d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_pellet-0d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_pellet-0d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_pellet-12d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_pellet-12d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_pellet-12d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_pellet-12d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_pellet-3d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_pellet-3d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_pellet-3d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_pellet-3d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_pellet-6d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_pellet-6d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_pellet-6d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_pellet-6d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_pellet-9d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_pellet-9d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_pellet-9d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_pellet-9d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_pellet-med-ctrl-_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_pellet-med-ctrl-_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_pellet-med-ctrl-_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_pellet-med-ctrl-_
file	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_3_extr-ctrl--extr-ctrl-_3_NA_010.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_4_extr-ctrl--extr-ctrl-_4_IR01_NA_055.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_1_extr-ctrl--extr-ctrl-_1_IR01_NA_082.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_2_extr-ctrl--extr-ctrl-_2_IR01_NA_175.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_11_exudate-0d_3_IR01_NA_091.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_12_exudate-0d_4_NA_016.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_9_exudate-0d_1_IR01_NA_121.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_10_exudate-0d_2_IR01_NA_085.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_28_exudate-12d_4_IR01_NA_046.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_26_exudate-12d_2_IR01_NA_067.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_25_exudate-12d_1_IR01_NA_109.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_27_exudate-12d_3_NA_025.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_13_exudate-3d_1_IR01_NA_103.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_14_exudate-3d_2_IR01_NA_160.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_15_exudate-3d_3_IR01_NA_178.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_16_exudate-3d_4_IR01_NA_034.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_18_exudate-6d_2_IR01_NA_112.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_19_exudate-6d_3_IR01_NA_070.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_17_exudate-6d_1_IR01_NA_166.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_20_exudate-6d_4_IR01_NA_127.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_22_exudate-9d_2_IR01_NA_076.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_23_exudate-9d_3_NA_028.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_21_exudate-9d_1_NA_019.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_24_exudate-9d_4_IR01_NA_145.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_5_exudate-med-ctrl-_1_IR01_NA_148.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_8_exudate-med-ctrl-_4_IR01_NA_064.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_6_exudate-med-ctrl-_2_IR01_NA_151.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_7_exudate-med-ctrl-_3_IR01_NA_031.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_36_pellet-0d_4_NA_022.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_35_pellet-0d_3_IR01_NA_118.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_33_pellet-0d_1_IR01_NA_088.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_34_pellet-0d_2_IR01_NA_133.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_52_pellet-12d_4_IR01_NA_163.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_51_pellet-12d_3_IR01_NA_058.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_50_pellet-12d_2_IR01_NA_130.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_49_pellet-12d_1_IR01_NA_142.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_38_pellet-3d_2_IR01_NA_037.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_39_pellet-3d_3_IR01_NA_115.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_40_pellet-3d_4_IR01_NA_154.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_37_pellet-3d_1_IR01_NA_097.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_42_pellet-6d_2_IR01_NA_079.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_41_pellet-6d_1_IR01_NA_052.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_43_pellet-6d_3_IR01_NA_136.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_44_pellet-6d_4_IR01_NA_043.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_47_pellet-9d_3_IR01_NA_061.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_48_pellet-9d_4_IR01_NA_049.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_46_pellet-9d_2_IR01_NA_094.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_45_pellet-9d_1_IR01_NA_157.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_30_pellet-med-ctrl-_2_NA_013.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_31_pellet-med-ctrl-_3_IR01_NA_169.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_29_pellet-med-ctrl-_1_IR01_NA_124.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_32_pellet-med-ctrl-_4_IR01_NA_100.h5
0005_5methylthioadenosine_positive_M+H298p0969_1p32	19565.41016	58066.94922	43735.50781	23201.14648	210676.4844	436794.4375	490552.0938	875319.75	270553248	310464448	312974400	273161216	14372192	10717277	17060702	13904259	100057832	140312768	119638024	108914080	325169792	305117280	313196800	246784400	39204.14063	226747.3281		56637.26563	63951.92969	429586.375	85144.98438	350062.4688	52921124	78086144	45313212	30989888	1380226.125	1542916.375	2798660.5	3527129.25	101479552	75399408	89157704	122784288	75618376	71115968	116052552	73497664			35673.37109	39671.26953
0006_5deoxyadenosine_positive_M+H252p1091_1p49	230528.9531	693642.75	24186.11719	61985.05078	127671.2266	170342.7656	164562.1875	166308.3281	7425184.5	11910406	25795676	12042592	1109279.625	966369.5625	1210168.75	1111606.25	6205736.5	5843788.5	6918632.5	6542435	8135804	4566673	8527838	5485870.5				26354.16992	28332.48047	282057.0625	22577.69141	27338.54297	426078.625	300068.4688	258196.5938	225686.4531	159211.9844	476225.0938	172821.5	254269	475257.8125	302987.875	360680.3125	446379.9375	138848.6875	183814.4688	196533.7188	127926.3203	54361.11328			17716.19336
0007_pyridoxine_positive_M+H170p0812_1p83	183343.8594	96960.29688	63836.80469	42052.66406	28343.23633	97838.40625	114747.7656	91906.15625	3241234	2586176.75	340042.875	1331848.5	91096.10156	123219.9297	79557.92188	93472.40625	144405.9531	104276.1563	142414.5156	119096.5156	899109.75	315545.5313	1485031.875	330387.2188	126735.2188	91063.75781	67201.09375	43205.625	60930.95313	89304.01563	41464.85156	47972.17969		107226.2266	76474.53906	100337.2969	84140.10156	117788.3281	42470.94922	39555.41016	47253.58203	106400.4141	29406.88477	78947.96875	43287.88672				134232.2188	44184.71875	19177.60352	68363.86719
0008_2deoxyadenosine_positive_M+H252p1091_1p91	230528.9531	693642.75	24186.11719	61985.05078	127671.2266	170342.7656	164562.1875	166308.3281	7425184.5	11910406	25795676	12042592	1109279.625	966369.5625	1210168.75	1111606.25	6205736.5	5843788.5	6918632.5	6542435	8135804	4566673	8527838	5485870.5				26354.16992	28332.48047	282057.0625	22577.69141	27338.54297	426078.625	300068.4688	258196.5938	225686.4531	159211.9844	476225.0938	172821.5	254269	475257.8125	302987.875	360680.3125	446379.9375	138848.6875	183814.4688	196533.7188	127926.3203	54361.11328			17716.19336
0009_adenosine_positive_M+H268p1041_2p72	1220382.875	1318870.5	1114619.875	454730.4063	651191.375	13045116	11241102	13859303	333847904	400565184	487041760	419381440	27890058	24753916	27778908	26446048	135937584	143736800	167903152	124733688	389195008	389122848	341916640	313701824	769378.625	1031646.563	680876.75	247525.1719	1236419.625	1609595.125	1558208.5	983810.0625	389138208	1264968576	159011632	190702448	3411282.5	4115652.25	5026740	4823920.5	15754237	15380856	27082978	19565546	222136640	289048672	308376896	53437828	727523.9375	1043522.938	535799.625	778827.125
0010_biotin_positive_M+H245p0955_3p09					156911.2344	3450268.75	3944673.25	5197977	23793070	22311692	26047420	16718148	6222410.5	5444565	6824009.5	5299123	6614465	9545671	9032937	743212.625	23419302	21726626	17966282	17107220	3340252.75	4336388	3512067	469241.3125	17244.20313	27938.57031		40748.20313	89078.46875	142719.3438	53734.28125	47940.92188	158921.6094	179524.8125	286189	390396.9688	1393666	1589532.125	1955303.875	2046635.25	336482	559305.0625	230124.8438	115171.8984				
0011_choline_positive_M104p1070_3p80	8285710.5	2463239.75	21546040	3907769.75	2205357.5	367452.5938	173256.4219	350378.7188	2261540.5	1311700.5	1923366.625	1686609.625	573759.4375	1082868	297791.5625	434815.0938	374908.1563	646726.75	278608.2188	2526771	914544.6875	2267446	1478638.375	985645.875	2210355	600257.625	594517.5	2134420	879010.4375	1471529.25	4026483	975742.375	99378096	2051287424	268229040	400575328	2182667.25	926271.125	1078797.125	2419397.25	5319466.5	61834988	11313919	6375806.5	205334576	226784016	117016096	229501824	1198653.625	988501.5625	368673.2188	830539.1875
0012_riboflavin_positive_M+H377p1456_4p19						50027.85156	50135.57422	37401.85938	573188.9375	448528.8125	299130.5313	425081.6563	133381.0625	189867.7188	235885.2656	183551.2188	149706.2344	98721.89844	139569.7031	135967.7188	118976.8359	559279	188362.875	352289.9375					20452.3125	10869.54492	16768.04688	14654.46875	997329.9375	824396.875	1389307.125	1213673.5	26160.54297	23062.07227	35864.89453	33242.11719	414070.1875	523398.7813	534834.3125	426949.3438	871607.0625	716366.75	1322597.5	711278.1875	12363.44629			
0014_guanine_positive_M+H152p0567_5p86	225085.6563	348981.0625	207812.8438	103851.8672	152767.7188	102823.2344	57742.375	68324.57813	12449629	10516606	1819887.625	8282670	92033.96875	85794.34375	49354.48828	66371.73438	673615	1067742.625	930423.5	173442.2969	12560397	24023704	9676631	23224640	65631.38281	110915.2656	86911.05469	56441.39453	47563.3125	230140.8281	55937.83984	48402.95703	8099577	157350960	11621361	11065773	170158.5625	252391.8906	60586.33203	106256.1797	875525.125	3454981.75	2297015.75	1878789.625	24420322	24538550	15196928	15355758	86013.96094	60782.49219	47895.88281	55831.74609
