,all,q_val.all,LFC.all,C,q_val.C,LFC.C,PS,q_val.PS,LFC.PS,P,q_val.P,LFC.P,means,Kingdom,Phylum,Class,Order,Family,Genus,RDPGenus,Species,Label
ASV1,FALSE,0.990868178,0.000283371,TRUE,9.70E-05,-0.195672787,FALSE,0.296721353,0.03160831,TRUE,0.005065453,-0.099034735,0.246405144,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter,Marinobacter,ASV1,Marinobacter
ASV10,FALSE,0.805428115,-0.016025245,TRUE,3.26E-08,-0.426054919,FALSE,0.876110664,0.0043801,TRUE,7.58E-05,0.109649756,0.033076765,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Seohaeicola,Seohaeicola,ASV10,Seohaeicola
ASV12,FALSE,0.897913675,-0.006618041,TRUE,3.03E-06,-0.254005796,FALSE,0.868117874,-0.012106401,FALSE,0.880309221,-0.017691253,0.0416609,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Oceanicaulis,Oceanicaulis,ASV12,Oceanicaulis
ASV13,FALSE,0.731951598,-0.031595809,TRUE,6.78E-06,-0.259582055,FALSE,0.203841523,0.054103861,TRUE,0.001859286,-0.153258559,0.036103038,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA,ASV13,[family: Rhodobacteraceae]
ASV14,TRUE,0.014117814,-0.330960466,TRUE,0.003234639,-0.633592904,FALSE,0.8728621,0.01418736,TRUE,0.000953456,-0.637425181,0.02125515,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Alcanivoracaceae1,Alcanivorax,Alcanivorax,ASV14,Alcanivorax
ASV15,FALSE,0.938600711,-0.003169748,FALSE,0.964443338,0.002337694,FALSE,0.355834623,-0.042568296,TRUE,1.00E-06,-0.233227967,0.022108482,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,Roseovarius,ASV15,Roseovarius
ASV16,FALSE,0.501446632,-0.099165073,TRUE,1.35E-17,-0.622580903,FALSE,0.271251855,0.079732323,FALSE,0.938192059,-0.018595965,0.017165895,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Limnobacter,Limnobacter,ASV16,Limnobacter
ASV17,FALSE,0.65554821,0.05143706,TRUE,1.09E-05,-0.338551197,TRUE,0.000253875,0.394459128,FALSE,0.112313572,-0.165546076,0.014631615,Bacteria,Desulfobacterota,Desulfuromonadia,Bradymonadales,NA,NA,Bradymonas,ASV17,Bradymonas
ASV18,TRUE,0.000236052,0.285835532,TRUE,0.025969345,0.427177656,FALSE,0.464466268,-0.049937649,TRUE,0.004053103,0.216317262,0.008935923,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,Devosia,ASV18,Devosia
ASV19,TRUE,0.039735338,-0.128970174,TRUE,6.10E-10,-0.532882562,FALSE,0.752170586,-0.028532339,FALSE,0.596195941,-0.089444947,0.012890581,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Altererythrobacter,Erythrobacter,ASV19,Erythrobacter (Altererythrobacter)
