"","all","q_val.all","LFC.all","C","q_val.C","LFC.C","PS","q_val.PS","LFC.PS","P","q_val.P","LFC.P","means","Kingdom","Phylum","Class","Order","Family","Genus","RDPGenus","Species"
"ASV1",FALSE,0.483788033647073,-0.0194036082910266,TRUE,0.000121850375557852,0.132207124144646,FALSE,0.864911181290546,-0.00519216376790328,TRUE,0.0120704323380479,-0.118601414714438,0.246405144434604,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Marinobacteraceae","Marinobacter","Marinobacter","ASV1"
"ASV10",TRUE,1.04968252950717e-14,-0.26047933541819,TRUE,6.41238281476901e-06,-0.372330195211423,TRUE,8.22010425388717e-13,-0.170520436605671,TRUE,5.83379377283829e-07,-0.171963003902093,0.0330767652959416,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Seohaeicola","Seohaeicola","ASV10"
"ASV12",TRUE,0.00192707144378853,-0.103999317488135,TRUE,0.000532264794884119,-0.201667869727137,FALSE,0.582581745572174,-0.0271092027325809,FALSE,0.826102702938936,-0.0165965094693041,0.0416608998563438,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Oceanicaulis","Oceanicaulis","ASV12"
"ASV13",FALSE,0.922546910893493,0.00485706128402393,TRUE,0.00252066614503472,0.159869522769473,FALSE,0.0540819071030772,-0.0665279337180929,FALSE,0.826102702938936,-0.0121460346639249,0.0361030377439279,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA,"ASV13"
"ASV14",TRUE,0.0389142144726282,-0.313038440915457,TRUE,0.0119131835061296,-0.548162668749725,FALSE,0.0797569377316748,-0.258997546733924,FALSE,0.826102702938936,-0.0653307367273403,0.0212551496201682,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Alcanivoracaceae1","Alcanivorax","Alcanivorax","ASV14"
"ASV15",FALSE,0.518593796833518,0.0212218755188512,TRUE,0.00142692863911191,0.172126928991727,FALSE,0.120679130988896,-0.052527240139344,FALSE,0.85543490875587,0.0106903082395524,0.0221084819164001,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Roseovarius","Roseovarius","ASV15"
"ASV16",FALSE,0.0762795463269157,-0.217339393111808,TRUE,0.00142692863911191,-0.277826961507762,TRUE,0.0244754490436312,-0.117819913819682,FALSE,0.508085154455954,-0.189746933472599,0.0171658950869633,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Limnobacter","Limnobacter","ASV16"
"ASV17",FALSE,0.152254676927391,-0.130731302436929,TRUE,3.55860351204296e-07,-0.423267486005859,FALSE,0.0540819071030772,0.21366032678256,FALSE,0.447622270632479,-0.115962377552104,0.0146316147166341,"Bacteria","Desulfobacterota","Desulfuromonadia","Bradymonadales",NA,NA,"Bradymonas","ASV17"
"ASV18",TRUE,0.00188051931771423,0.268753141741391,TRUE,4.88370739356868e-13,0.965384948292949,FALSE,0.155351601321754,-0.0696654624857626,FALSE,0.826102702938936,-0.0228356900476292,0.00893592275236713,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia","Devosia","ASV18"
"ASV19",FALSE,0.428195009549543,-0.0481118646362741,FALSE,0.107499431393972,0.138831099635448,FALSE,0.856125872498257,0.0194999707627238,FALSE,0.0667603888110219,-0.236042293771611,0.0128905809610913,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Altererythrobacter","Erythrobacter","ASV19"
"ASV20",FALSE,0.630556996032782,-0.0162244539794508,FALSE,0.132259329818094,0.0768154160578198,FALSE,0.864911181290546,-0.00813512967691171,FALSE,0.542381592268422,-0.0507292777838774,0.00606906661708212,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Roseovarius","Roseovarius","ASV20"
"ASV21",FALSE,0.121006289889119,-0.110881346225909,TRUE,1.06384203632777e-09,-0.552904566566457,TRUE,0.00488551766761898,0.138706083388808,TRUE,0.0120704323380479,0.148178815035304,0.0101985824597301,"Bacteria","Bacteroidota","Rhodothermia","Balneolales","Balneolaceae","Balneola","Balneola","ASV21"
"ASV22",FALSE,0.395263218993877,-0.0262060515004479,FALSE,0.341612189252542,-0.0573075688402141,FALSE,0.540626942432354,0.0318146856736526,FALSE,0.826102702938936,0.0134990992006005,0.00701528250961984,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Marivita","Marivita","ASV22"
"ASV23",FALSE,0.247896439860544,-0.17314718126987,FALSE,0.598778674749632,-0.233594590551703,TRUE,0.0019043711104278,-0.172574923226414,NA,NA,NA,0.00334170789779837,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Thalassospiraceae","Thalassospira","Thalassospira","ASV23"
"ASV25",FALSE,0.0831711469399505,-0.0683356636559878,FALSE,0.598778674749632,-0.0472089861465007,TRUE,0.0011028308007383,-0.133488137085177,FALSE,0.542381592268422,0.0423145027990968,0.00456972202638008,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Nioella",NA,"ASV25"
"ASV26",TRUE,0.00188051931771423,0.177390832490985,TRUE,1.60621873193093e-38,0.530624184754583,FALSE,0.818594465732368,-0.0127857131415972,FALSE,0.710669585796736,0.0809583963953488,0.00292129896646557,"Bacteria","Proteobacteria","Alphaproteobacteria","Thalassobaculales","Thalassobaculaceae","Thalassobaculum","Thalassobaculum","ASV26"
