,all,q_val.all,LFC.all,C,q_val.C,LFC.C,PS,q_val.PS,LFC.PS,P,q_val.P,LFC.P,means,Kingdom,Phylum,Class,Order,Family,Genus,RDPGenus,Species,Label
ASV1,FALSE,0.483788034,-0.019403608,TRUE,0.00012185,0.132207124,FALSE,0.864911181,-0.005192164,TRUE,0.012070432,-0.118601415,0.246405144,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter,Marinobacter,ASV1,Marinobacter
ASV10,TRUE,1.05E-14,-0.260479335,TRUE,6.41E-06,-0.372330195,TRUE,8.22E-13,-0.170520437,TRUE,5.83E-07,-0.171963004,0.033076765,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Seohaeicola,Seohaeicola,ASV10,Seohaeicola
ASV12,TRUE,0.001927071,-0.103999317,TRUE,0.000532265,-0.20166787,FALSE,0.582581746,-0.027109203,FALSE,0.826102703,-0.016596509,0.0416609,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Oceanicaulis,Oceanicaulis,ASV12,Oceanicaulis
ASV13,FALSE,0.922546911,0.004857061,TRUE,0.002520666,0.159869523,FALSE,0.054081907,-0.066527934,FALSE,0.826102703,-0.012146035,0.036103038,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA,ASV13,[family: Rhodobacteraceae]
ASV14,TRUE,0.038914214,-0.313038441,TRUE,0.011913184,-0.548162669,FALSE,0.079756938,-0.258997547,FALSE,0.826102703,-0.065330737,0.02125515,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Alcanivoracaceae1,Alcanivorax,Alcanivorax,ASV14,Alcanivorax
ASV15,FALSE,0.518593797,0.021221876,TRUE,0.001426929,0.172126929,FALSE,0.120679131,-0.05252724,FALSE,0.855434909,0.010690308,0.022108482,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,Roseovarius,ASV15,Roseovarius
ASV16,FALSE,0.076279546,-0.217339393,TRUE,0.001426929,-0.277826962,TRUE,0.024475449,-0.117819914,FALSE,0.508085154,-0.189746933,0.017165895,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Limnobacter,Limnobacter,ASV16,Limnobacter
ASV17,FALSE,0.152254677,-0.130731302,TRUE,3.56E-07,-0.423267486,FALSE,0.054081907,0.213660327,FALSE,0.447622271,-0.115962378,0.014631615,Bacteria,Desulfobacterota,Desulfuromonadia,Bradymonadales,NA,NA,Bradymonas,ASV17,Bradymonas
ASV18,TRUE,0.001880519,0.268753142,TRUE,4.88E-13,0.965384948,FALSE,0.155351601,-0.069665462,FALSE,0.826102703,-0.02283569,0.008935923,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,Devosia,ASV18,Devosia
ASV19,FALSE,0.42819501,-0.048111865,FALSE,0.107499431,0.1388311,FALSE,0.856125872,0.019499971,FALSE,0.066760389,-0.236042294,0.012890581,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Altererythrobacter,Erythrobacter,ASV19,Erythrobacter (Altererythrobacter)
ASV20,FALSE,0.630556996,-0.016224454,FALSE,0.13225933,0.076815416,FALSE,0.864911181,-0.00813513,FALSE,0.542381592,-0.050729278,0.006069067,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,Roseovarius,ASV20,Roseovarius
ASV21,FALSE,0.12100629,-0.110881346,TRUE,1.06E-09,-0.552904567,TRUE,0.004885518,0.138706083,TRUE,0.012070432,0.148178815,0.010198582,Bacteria,Bacteroidota,Rhodothermia,Balneolales,Balneolaceae,Balneola,Balneola,ASV21,Balneola
ASV22,FALSE,0.395263219,-0.026206052,FALSE,0.341612189,-0.057307569,FALSE,0.540626942,0.031814686,FALSE,0.826102703,0.013499099,0.007015283,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Marivita,Marivita,ASV22,Marivita
ASV23,FALSE,0.24789644,-0.173147181,FALSE,0.598778675,-0.233594591,TRUE,0.001904371,-0.172574923,NA,NA,NA,0.003341708,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Thalassospiraceae,Thalassospira,Thalassospira,ASV23,Thalassospira
ASV25,FALSE,0.083171147,-0.068335664,FALSE,0.598778675,-0.047208986,TRUE,0.001102831,-0.133488137,FALSE,0.542381592,0.042314503,0.004569722,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Nioella,NA,ASV25,Nioella
ASV26,TRUE,0.001880519,0.177390832,TRUE,1.61E-38,0.530624185,FALSE,0.818594466,-0.012785713,FALSE,0.710669586,0.080958396,0.002921299,Bacteria,Proteobacteria,Alphaproteobacteria,Thalassobaculales,Thalassobaculaceae,Thalassobaculum,Thalassobaculum,ASV26,Thalassobaculum
ASV27,FALSE,0.119313208,-0.261773006,TRUE,5.79E-05,-0.840757642,FALSE,0.856125872,0.07427021,NA,NA,NA,0.002572222,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Stappiaceae,Labrenzia,Roseibium,ASV27,Roseibium (Labrenzia) 
ASV28,FALSE,0.703824414,0.013985098,TRUE,0.000485174,0.150894972,TRUE,0.003861823,-0.115192619,FALSE,0.241431283,0.072877311,0.004942801,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Hoeflea,Hoeflea,ASV28,Hoeflea
ASV29,FALSE,0.400307119,0.037530068,FALSE,0.535727334,0.044384649,FALSE,0.275840732,0.084901437,FALSE,0.508085154,0.049928487,0.003968752,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Roseitalea,NA,ASV29,Roseitalea
ASV3,FALSE,0.42819501,0.027983732,TRUE,0.008206917,0.140898488,FALSE,0.706249487,0.012692024,FALSE,0.971919111,-0.003014945,0.149406942,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter,Marinobacter,ASV3,Marinobacter
ASV30,FALSE,0.12100629,0.072082688,TRUE,5.97E-13,0.353486823,TRUE,0.000609533,-0.152689761,FALSE,0.447622271,0.082075372,0.002013727,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Muricauda,Muricauda,ASV30,Muricauda
ASV31,FALSE,0.161427017,-0.108279652,TRUE,0.000124339,-0.490591326,FALSE,0.560013519,0.028956283,TRUE,0.000751571,0.203420458,0.003882304,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Oceanicaulis,Oceanicaulis,ASV31,Oceanicaulis
ASV32,FALSE,0.313214818,-0.077943757,TRUE,0.000532265,-0.220790449,FALSE,0.161279719,0.224096693,FALSE,0.064111439,-0.170513147,0.004461339,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Maricaulis,Maricaulis,ASV32,Maricaulis
ASV33,TRUE,0.011980744,-0.117425522,TRUE,9.71E-05,-0.163333388,NA,NA,NA,FALSE,0.447622271,-0.10029559,0.001258167,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Pusillimonas,Pusillimonas,ASV33,Pusillimonas
ASV34,TRUE,0.000379372,-0.211354426,NA,NA,NA,TRUE,0.002897336,-0.333878947,TRUE,0,-0.203930955,0.001287355,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Arenibacter,Arenibacter,ASV34,Arenibacter
ASV35,FALSE,0.249297551,-0.118255029,FALSE,0.535727334,0.123557685,TRUE,0.000315773,-0.179366699,TRUE,9.62E-05,-0.232331703,0.00220245,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseibacterium,Aliiroseovarius,ASV35,Aliiroseovarius (Roseibacterium)
