"","ASV1","ASV3","ASV5","ASV6","ASV7","ASV8","ASV9","ASV10","ASV12","ASV13","ASV14","ASV15","ASV16","ASV17","ASV18","ASV19","ASV20","ASV21","ASV22","ASV23","ASV25","ASV26","ASV27","ASV28","ASV29","ASV30","ASV31","ASV32","ASV33","ASV34","ASV35","ASV37","ASV38","ASV39","ASV40","ASV41","ASV42","ASV43","ASV44","ASV45","ASV46","ASV47","ASV48","ASV49","ASV50","ASV51","ASV52","ASV53","ASV54","ASV55","ASV57","ASV58","ASV59","ASV60","ASV61","ASV62","ASV63","ASV65","ASV66","ASV69","ASV70","ASV71","ASV74","ASV79"
"BC1-10",0.261443408020002,0.103904221559765,0.0197374747571882,0.0301471295316857,0.00233195499567266,0.0963794595634196,0.000408693143571497,0.065607269929801,0.00293297432445427,0.00447158380613521,0.224661025098567,0.0322867583421483,0.0597653620540436,0.0503173382055967,2.40407731512645e-05,0.00204346571785749,0.00545725550533705,0.00507260313491682,0.00634676411193384,0.000841427060294259,0.00384652370420233,0.00170689489373978,0.00492835849600923,0.00112991633810943,0.00209154726416002,0.000480815463025291,0.000865467833445524,0.000913549379748052,0.00502452158861429,2.40407731512645e-05,2.40407731512645e-05,0.00132224252331955,2.40407731512645e-05,0.000985671699201846,2.40407731512645e-05,0.000649100875084143,2.40407731512645e-05,2.40407731512645e-05,0.000120203865756323,2.40407731512645e-05,2.40407731512645e-05,2.40407731512645e-05,2.40407731512645e-05,2.40407731512645e-05,0.000721223194537936,2.40407731512645e-05,2.40407731512645e-05,2.40407731512645e-05,2.40407731512645e-05,2.40407731512645e-05,0.000336570824117704,2.40407731512645e-05,2.40407731512645e-05,2.40407731512645e-05,2.40407731512645e-05,2.40407731512645e-05,2.40407731512645e-05,2.40407731512645e-05,2.40407731512645e-05,2.40407731512645e-05,2.40407731512645e-05,2.40407731512645e-05,2.40407731512645e-05,2.40407731512645e-05
"BC1-6",0.389583165363219,0.284662312881292,0.0048106640866457,0.0107769625628208,0.00137063613641861,0.0912144911177403,0.00247252008922572,0.0642586471015077,0.00196189094036389,0.0209089198849741,0.0118519712972668,0.0390496922787497,0.0289714853933188,0.00384315622564433,2.68752183611492e-05,0.00505254105189605,0.0108844634362654,0.00206939181380849,0.00325190142169905,0.000618130022306431,0.00287564836464296,0.00279502270955951,0.00123626004461286,0.00110188395280712,0.00249939530758687,0.000295627401972641,0.000564379585584133,0.000188126528528044,0.00349377838694939,2.68752183611492e-05,0.000349377838694939,0.00209626703216964,2.68752183611492e-05,0.00112875917116827,2.68752183611492e-05,0.00161251310166895,2.68752183611492e-05,2.68752183611492e-05,0.000268752183611492,0.000241876965250343,2.68752183611492e-05,2.68752183611492e-05,2.68752183611492e-05,2.68752183611492e-05,0.000725630895751028,2.68752183611492e-05,2.68752183611492e-05,2.68752183611492e-05,2.68752183611492e-05,2.68752183611492e-05,2.68752183611492e-05,2.68752183611492e-05,2.68752183611492e-05,2.68752183611492e-05,2.68752183611492e-05,2.68752183611492e-05,2.68752183611492e-05,2.68752183611492e-05,0.000161251310166895,2.68752183611492e-05,2.68752183611492e-05,2.68752183611492e-05,2.68752183611492e-05,2.68752183611492e-05
"BC1-8",0.254001928640309,0.115525554484089,0.00302153648344584,0.0216972034715526,0.00295724847315976,0.0836387013821922,0.000353584056573449,0.150048216007715,0.00231436837029894,0.00681452909032465,0.212375441980071,0.0190292510446802,0.0598842815814851,0.0278045644487303,3.21440051430408e-05,0.00205721632915461,0.00482160077145612,0.000996464159434265,0.00739312118289939,3.21440051430408e-05,0.00421086467373835,0.00253937640630022,0.00369656059144969,0.00102860816457731,0.00144648023143684,0.000450016072002571,0.000321440051430408,0.000450016072002571,0.00536804885888782,3.21440051430408e-05,3.21440051430408e-05,0.00112504018000643,3.21440051430408e-05,0.000996464159434265,3.21440051430408e-05,0.00038572806171649,3.21440051430408e-05,0.00077145612343298,0.000192864030858245,3.21440051430408e-05,3.21440051430408e-05,3.21440051430408e-05,3.21440051430408e-05,3.21440051430408e-05,3.21440051430408e-05,0.000321440051430408,3.21440051430408e-05,3.21440051430408e-05,3.21440051430408e-05,3.21440051430408e-05,3.21440051430408e-05,3.21440051430408e-05,0.000353584056573449,3.21440051430408e-05,0.000289296046287367,3.21440051430408e-05,3.21440051430408e-05,3.21440051430408e-05,0.000128576020572163,0.000321440051430408,3.21440051430408e-05,3.21440051430408e-05,3.21440051430408e-05,3.21440051430408e-05
"BC2-10",0.171643441716434,0.0935910196859102,0.0267916390179164,0.0650575094005751,0.00384317628843176,0.0697577969475779,0.000414731254147312,0.0590024330900243,0.00160362751603627,0.00196306126963061,0.0158150851581508,0.0344226940942269,0.312458526874585,0.0719420482194204,2.76487502764875e-05,0.00105065251050652,0.0039814200398142,0.0121654501216545,0.00572329130723291,0.00138243751382437,0.00890289758902897,0.00323490378234904,0.011059500110595,0.00121654501216545,0.00276487502764875,0.000608272506082725,0.00138243751382437,0.00152068126520681,0.00710572882105729,2.76487502764875e-05,2.76487502764875e-05,0.00226719752267197,2.76487502764875e-05,0.00246073877460739,2.76487502764875e-05,0.00240544127405441,2.76487502764875e-05,2.76487502764875e-05,0.00033178500331785,2.76487502764875e-05,2.76487502764875e-05,2.76487502764875e-05,2.76487502764875e-05,2.76487502764875e-05,0.00077416500774165,2.76487502764875e-05,2.76487502764875e-05,2.76487502764875e-05,2.76487502764875e-05,2.76487502764875e-05,0.000193541251935412,2.76487502764875e-05,2.76487502764875e-05,2.76487502764875e-05,2.76487502764875e-05,2.76487502764875e-05,2.76487502764875e-05,2.76487502764875e-05,2.76487502764875e-05,2.76487502764875e-05,0.000359433753594337,2.76487502764875e-05,2.76487502764875e-05,2.76487502764875e-05
"BC2-6",0.411037891268534,0.249117439397505,0.00967874794069193,0.0204165686043775,0.00205930807248764,0.0961108496116734,0.00217698281948694,0.0379206872205225,0.002500588373735,0.0182984231583902,0.00158860908449047,0.0253000706048482,0.0550423629089197,0.0194751706283831,2.94186867498235e-05,0.00644269239821134,0.01000235349494,0.00158860908449047,0.0038832666509767,2.94186867498235e-05,0.00279477524123323,0.00323605554248059,0.000735467168745587,0.00144151565074135,0.00247116968698517,0.000647211108496117,0.00114732878324312,0.000353024240997882,0.00358907978347847,2.94186867498235e-05,0.000147093433749117,0.00208872675923747,2.94186867498235e-05,0.00176512120498941,2.94186867498235e-05,0.00232407625323606,2.94186867498235e-05,2.94186867498235e-05,0.000176512120498941,0.000235349493998588,2.94186867498235e-05,2.94186867498235e-05,2.94186867498235e-05,0.00147093433749117,0.00117674746999294,2.94186867498235e-05,2.94186867498235e-05,2.94186867498235e-05,2.94186867498235e-05,2.94186867498235e-05,2.94186867498235e-05,2.94186867498235e-05,0.000353024240997882,2.94186867498235e-05,2.94186867498235e-05,2.94186867498235e-05,2.94186867498235e-05,2.94186867498235e-05,2.94186867498235e-05,2.94186867498235e-05,0.000411861614497529,2.94186867498235e-05,2.94186867498235e-05,2.94186867498235e-05
"BC2-8",0.237735335171756,0.113675824737003,0.0120859292547578,0.06693221666156,0.0025533653355122,0.0896061008409084,0.000578762809382767,0.102134613420488,0.00497055118646376,0.00619616654750962,0.0123582882238791,0.0260102815510843,0.180369727300582,0.0834439791645389,0.000476628195962278,0.00122561536104586,0.0054812242535662,0.00578762809382767,0.00742178190855548,0.00160010894358765,0.00827290368705955,0.00302999353147448,0.00452796786164165,0.00108943587648521,0.00309808327375481,0.000578762809382767,0.00129370510332618,0.00115752561876553,0.00636639090321043,3.40448711401627e-05,3.40448711401627e-05,0.00231505123753107,3.40448711401627e-05,0.00163415381472781,3.40448711401627e-05,0.0022810063663909,3.40448711401627e-05,0.000680897422803255,0.000340448711401628,3.40448711401627e-05,0.000646852551663092,3.40448711401627e-05,3.40448711401627e-05,3.40448711401627e-05,3.40448711401627e-05,0.000204269226840976,3.40448711401627e-05,3.40448711401627e-05,3.40448711401627e-05,3.40448711401627e-05,0.000170224355700814,3.40448711401627e-05,3.40448711401627e-05,3.40448711401627e-05,0.000783032036223743,3.40448711401627e-05,3.40448711401627e-05,3.40448711401627e-05,3.40448711401627e-05,3.40448711401627e-05,3.40448711401627e-05,3.40448711401627e-05,3.40448711401627e-05,3.40448711401627e-05
"BC3-10",0.28560916874777,0.0821218337495541,0.0283178737067428,0.0600918658580093,0.00927577595433464,0.0878523011059579,0.000579735997145915,0.0747859436318231,0.00376828398144845,0.00323314306100606,0.14747591865858,0.0402247591865858,0.0559891188012844,0.0582634677131645,2.2297538351766e-05,0.00338922582946843,0.00653317873706743,0.00891901534070638,0.00481626828398145,0.00131555476275419,0.00822779165180164,0.00240813414199072,0.00947645379950054,0.000869603995718873,0.00187299322154834,0.000512843382090617,0.00115947199429183,0.00160542276132715,0.00581965750981092,2.2297538351766e-05,0.00011148769175883,0.00211826614341777,2.2297538351766e-05,0.000981091687477702,2.2297538351766e-05,0.00107028184088477,2.2297538351766e-05,2.2297538351766e-05,2.2297538351766e-05,2.2297538351766e-05,2.2297538351766e-05,2.2297538351766e-05,2.2297538351766e-05,2.2297538351766e-05,0.000445950767035319,2.2297538351766e-05,2.2297538351766e-05,2.2297538351766e-05,2.2297538351766e-05,2.2297538351766e-05,8.91901534070639e-05,2.2297538351766e-05,2.2297538351766e-05,2.2297538351766e-05,2.2297538351766e-05,2.2297538351766e-05,2.2297538351766e-05,2.2297538351766e-05,2.2297538351766e-05,2.2297538351766e-05,2.2297538351766e-05,2.2297538351766e-05,2.2297538351766e-05,2.2297538351766e-05
"BC3-6",0.403547671840355,0.228505941852064,0.00585465507361917,0.0142006527317571,0.00274047684297068,0.120680634794091,0.00216746804853135,0.0488054012307233,0.00209272777099579,0.0154961508757069,0.0198061735469244,0.0340815665562171,0.0345549216472757,0.016966043000573,2.4913425845188e-05,0.00535638655671541,0.0124317994967488,0.00176885323500835,0.00301452452726775,2.4913425845188e-05,0.00341313934079075,0.00224220832606692,0.00184359351254391,0.000747402775355639,0.00281521712050624,0.000523181942748947,0.000498268516903759,0.000224220832606692,0.00403597498692045,2.4913425845188e-05,0.000323874535987444,0.00284013054635143,2.4913425845188e-05,0.00251625601036399,2.4913425845188e-05,0.00199307406761504,2.4913425845188e-05,0.000597922220284511,0.000573008794439323,2.4913425845188e-05,0.000573008794439323,2.4913425845188e-05,2.4913425845188e-05,2.4913425845188e-05,0.000697575923665263,2.4913425845188e-05,2.4913425845188e-05,2.4913425845188e-05,2.4913425845188e-05,2.4913425845188e-05,2.4913425845188e-05,2.4913425845188e-05,0.000298961110142256,2.4913425845188e-05,2.4913425845188e-05,2.4913425845188e-05,2.4913425845188e-05,2.4913425845188e-05,2.4913425845188e-05,2.4913425845188e-05,0.000498268516903759,2.4913425845188e-05,2.4913425845188e-05,2.4913425845188e-05
"BC3-8",0.211205383265067,0.0708016383850205,0.00435927442949093,0.0393797542422469,0.00702165008777063,0.0583089526038619,0.000585137507314219,0.138736102984201,0.00166764189584552,0.00403744880046811,0.315389116442364,0.01234640140433,0.0639847864248099,0.0345523698069046,2.92568753657109e-05,0.00140433001755413,0.00333528379169105,0.00190169689877121,0.00532475131655939,2.92568753657109e-05,0.00731421884142773,0.00166764189584552,0.00438853130485664,0.000789935634874196,0.00178466939730837,0.00032182562902282,0.000409596255119953,0.000234055002925688,0.00315974253949678,2.92568753657109e-05,0.000263311878291399,0.00105324751316559,2.92568753657109e-05,0.000994733762434172,2.92568753657109e-05,0.000643651258045641,2.92568753657109e-05,0.000555880631948508,0.000117027501462844,2.92568753657109e-05,0.0010825043885313,2.92568753657109e-05,2.92568753657109e-05,2.92568753657109e-05,2.92568753657109e-05,2.92568753657109e-05,2.92568753657109e-05,2.92568753657109e-05,2.92568753657109e-05,2.92568753657109e-05,2.92568753657109e-05,2.92568753657109e-05,2.92568753657109e-05,2.92568753657109e-05,2.92568753657109e-05,2.92568753657109e-05,2.92568753657109e-05,2.92568753657109e-05,2.92568753657109e-05,2.92568753657109e-05,2.92568753657109e-05,2.92568753657109e-05,2.92568753657109e-05,2.92568753657109e-05
"BC4-10",0.223181546303279,0.100590331053494,0.0321951473227057,0.0359919902218292,0.00356279093958859,0.106701687774686,0.000260057732816685,0.0546901412113489,0.00239253114191351,0.00478506228382701,0.208722336358672,0.0372142615660677,0.0766910254076405,0.0618157230905261,2.60057732816685e-05,0.00169037526330845,0.00730762229214886,0.00686552414636049,0.00514914310977037,2.60057732816685e-05,0.00395287753881362,0.00278261774113853,0.00613736249447378,0.000728161651886719,0.00265258887473019,0.000416092372506697,0.000962213611421736,0.000780173198450056,0.00582529321509375,2.60057732816685e-05,2.60057732816685e-05,0.00117025979767508,2.60057732816685e-05,0.00111824825111175,2.60057732816685e-05,0.00166436949002679,2.60057732816685e-05,2.60057732816685e-05,0.000546121238915039,2.60057732816685e-05,2.60057732816685e-05,2.60057732816685e-05,2.60057732816685e-05,2.60057732816685e-05,0.00018204041297168,2.60057732816685e-05,2.60057732816685e-05,2.60057732816685e-05,2.60057732816685e-05,2.60057732816685e-05,0.00018204041297168,2.60057732816685e-05,2.60057732816685e-05,2.60057732816685e-05,2.60057732816685e-05,2.60057732816685e-05,2.60057732816685e-05,2.60057732816685e-05,2.60057732816685e-05,2.60057732816685e-05,0.000312069279380022,2.60057732816685e-05,2.60057732816685e-05,2.60057732816685e-05
