,Kingdom,Phylum,Class,Order,Family,Genus,RDPGenus,Species,Label
ASV1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter,Marinobacter,ASV1,Marinobacter
ASV3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter,Marinobacter,ASV3,Marinobacter
ASV5,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,NA,NA,ASV5,[family: Cryomorphaceae]
ASV6,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Stappiaceae,Labrenzia,Roseibium,ASV6,Roseibium (Labrenzia) 
ASV7,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Thalassospiraceae,Thalassospira,Thalassospira,ASV7,Thalassospira
ASV8,Bacteria,Proteobacteria,Gammaproteobacteria,Nitrosococcales,Methylophagaceae,Methylophaga,Methylophaga,ASV8,Methylophaga
ASV9,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Algoriphagus,Algoriphagus,ASV9,Algoriphagus
ASV10,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Seohaeicola,Seohaeicola,ASV10,Seohaeicola
ASV12,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Oceanicaulis,Oceanicaulis,ASV12,Oceanicaulis
ASV13,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA,ASV13,[family: Rhodobacteraceae]
ASV14,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Alcanivoracaceae1,Alcanivorax,Alcanivorax,ASV14,Alcanivorax
ASV15,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,Roseovarius,ASV15,Roseovarius
ASV16,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Limnobacter,Limnobacter,ASV16,Limnobacter
ASV17,Bacteria,Desulfobacterota,Desulfuromonadia,Bradymonadales,NA,NA,Bradymonas,ASV17,Bradymonas
ASV18,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,Devosia,ASV18,Devosia
ASV19,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Altererythrobacter,Erythrobacter,ASV19,Erythrobacter (Altererythrobacter)
ASV20,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,Roseovarius,ASV20,Roseovarius
ASV21,Bacteria,Bacteroidota,Rhodothermia,Balneolales,Balneolaceae,Balneola,Balneola,ASV21,Balneola
ASV22,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Marivita,Marivita,ASV22,Marivita
ASV23,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Thalassospiraceae,Thalassospira,Thalassospira,ASV23,Thalassospira
ASV25,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Nioella,NA,ASV25,Nioella
ASV26,Bacteria,Proteobacteria,Alphaproteobacteria,Thalassobaculales,Thalassobaculaceae,Thalassobaculum,Thalassobaculum,ASV26,Thalassobaculum
ASV27,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Stappiaceae,Labrenzia,Roseibium,ASV27,Roseibium (Labrenzia) 
ASV28,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Hoeflea,Hoeflea,ASV28,Hoeflea
ASV29,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Roseitalea,NA,ASV29,Roseitalea
ASV30,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Muricauda,Muricauda,ASV30,Muricauda
ASV31,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Oceanicaulis,Oceanicaulis,ASV31,Oceanicaulis
ASV32,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Maricaulis,Maricaulis,ASV32,Maricaulis
ASV33,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Pusillimonas,Pusillimonas,ASV33,Pusillimonas
ASV34,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Arenibacter,Arenibacter,ASV34,Arenibacter
ASV35,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseibacterium,Aliiroseovarius,ASV35,Aliiroseovarius (Roseibacterium)
