"","Axis.1","Axis.2","Axis.3"
"BC1-10",-0.266155053618828,0.111402883782425,-0.207832187963694
"BC1-6",-0.2357314403193,-0.0618756133597314,-0.12758523120779
"BC1-8",-0.298609970613345,0.0963637870024499,-0.213069616429964
"BC2-10",-0.232670212953632,0.134524350520617,-0.160492395833944
"BC2-6",-0.229712854778775,-0.059499651095477,-0.119726796901718
"BC2-8",-0.250730669001699,0.0716439332289129,-0.145784937154737
"BC3-10",-0.244824002196461,0.116184555228319,-0.158151914361588
"BC3-6",-0.251526997716363,-0.0354523370411509,-0.139596406656528
"BC3-8",-0.300300435697251,0.145600697165498,-0.205163052489216
"BC4-10",-0.247945844826346,0.143925576303228,-0.212149817690055
"BC4-6",-0.258465040446784,-0.0404264305348493,-0.140827479608486
"BC4-8",-0.292458323732572,0.0986086651654658,-0.201616676262733
"BC5-10",-0.273950747994404,0.140684357912383,-0.214205818977856
"BC5-6",-0.24114981306025,-0.0354614356386281,-0.141483289703321
"BC5-8",-0.271503611704708,0.11122273581553,-0.195518828741348
"BH1-10",-0.260625953302804,0.195104887187053,0.127009933323158
"BH1-6",-0.270536999099153,0.178872003813432,0.248586917768013
"BH1-8",-0.244002989855477,0.196022976629406,0.198375801023361
"BH2-10",-0.212761731462494,0.214748942933532,0.198567371100383
"BH2-6",-0.262222614262318,0.155519207990307,0.287410888471855
"BH2-8",-0.21208289225141,0.190105366622052,0.192644949682143
"BH3-10",-0.258414079734143,0.204954554028427,0.153252250763173
"BH3-6",-0.268870544935095,0.152795597071391,0.259146958116521
"BH3-8",-0.279501939539598,0.185380406972159,0.180839291974965
"BH4-10",-0.246943035709943,0.245482124030818,0.194727600716401
"BH4-6",-0.269198120372148,0.187224758330234,0.262295670906576
"BH4-8",-0.226155903201417,0.224079689400779,0.221577240492852
"BH5-10",-0.263971942687664,0.236465672708287,0.149334613834399
"BH5-6",-0.275567125058179,0.175440221764429,0.259474555122947
"BH5-8",-0.256350272667777,0.231220168090657,0.153298022065923
"BL1-10",-0.194047299535721,0.0775918865680344,-0.151195125996305
"BL1-6",-0.229325498115328,-0.0807748812075173,-0.11335129945568
"BL1-8",-0.249184132134603,-0.0112931366918868,-0.132505947189211
"BL2-10",-0.251702469477492,0.0608102948520783,-0.176387850316442
"BL2-6",-0.230075366197704,-0.0903137742494495,-0.108122481383135
"BL2-8",-0.269877664610626,-0.00969134026423209,-0.149291194627938
"BL3-10",-0.222254540211688,0.0412105264251207,-0.14950719074135
"BL3-6",-0.248788189156793,-0.102849513387845,-0.113465697877756
"BL3-8",-0.238591254940082,-0.0297627342290222,-0.130381931750668
"BL4-10",-0.264432965059718,0.0434934093846251,-0.171944830766465
"BL4-6",-0.244381941431751,-0.0897895739208421,-0.108333041987132
"BL4-8",-0.270353820153961,-0.00574791662874429,-0.146484789881518
"BL5-10",-0.23578165232042,0.0491690643610384,-0.173472314009267
"BL5-6",-0.239375194004676,-0.0853389085899243,-0.119055808192362
"BL5-8",-0.229970238308177,-0.0302738007208798,-0.099898812436309
"PC1-10",0.285581653033219,0.0352993720468718,-0.0454320453305872
"PC1-6",0.239085135852538,0.0911297161671149,-0.0971479367887836
"PC1-8",0.294902534539622,0.0682621595675225,-0.0609302672405904
"PC2-10",0.290463214572658,0.0226764568219509,-0.0385823756876598
"PC2-6",0.2315192091152,0.0647843428503368,-0.07404572556123
"PC2-8",0.289429050591246,0.0564759701530186,-0.0622053441275142
"PC3-10",0.319245107342577,0.0312877241226097,-0.0356528873688444
"PC3-6",0.236980936959121,0.0960608858334538,-0.0930441674754743
"PC3-8",0.297219021674352,0.0500718604456027,-0.0550762721230565
"PC4-10",0.276925766212431,0.00526086777500799,-0.0259874052860256
"PC4-6",0.257768408269208,0.0702688566581513,-0.0743613249946837
"PC4-8",0.272055085701269,0.037767569106466,-0.0431654322358472
"PC5-10",0.28241046206684,0.038866689503801,-0.0450448702238576
"PC5-6",0.208396200280541,0.118084766480039,-0.0959811603061855
"PC5-8",0.255802996520211,0.0795025304897243,-0.0456472451848329
"PH1-10",0.28734215307371,0.0600202489626095,0.0183217730431353
"PH1-6",0.176452716805499,0.173227191476549,0.101322251539552
"PH1-8",0.271394059213771,0.0993016479111675,0.0236143179823098
"PH2-10",0.293048920667955,0.0485036183526861,0.00776478977044702
"PH2-6",0.187515693319924,0.177608546952882,0.0731568332493207
"PH2-8",0.272561763076138,0.0842744736489627,0.011736414549624
"PH3-10",0.295235820742619,0.0512436739685792,-0.0102457881327413
"PH3-6",0.20652390428039,0.1912960413239,0.0561420237669534
"PH3-8",0.289915890631125,0.101457277453608,0.00584627038688022
"PH4-10",0.300250281987773,0.0521015606866075,0.00354672896528576
"PH4-6",0.19185809864142,0.200865130695048,0.0781736071598934
"PH4-8",0.285296910706703,0.102885793580331,0.018129810177479
"PH5-10",0.313890105942507,0.0475651275661118,0.0328728085055487
"PH5-6",0.216868572158399,0.125794578320469,0.0919231885266406
"PH5-8",0.277619427321461,0.0712154310316434,0.037663840174916
"PL1-10",0.305464040467134,0.00113438639030161,-0.0133790710923028
"PL1-6",0.246841836956485,0.0660624760831855,-0.064533058903292
"PL1-8",0.309162643121006,0.0220926734117446,-0.0222402910937105
"PL2-10",0.31138286222258,0.0234268031132322,-0.0269992582545316
"PL2-6",0.250196355755222,0.0776783169412155,-0.0783084161284361
"PL2-8",0.313278718657884,0.0448734713656775,-0.0404189169140727
"PL3-10",0.287722946145631,0.00372544610865819,-0.0280283484936686
"PL3-6",0.25560183734345,0.0461593608706232,-0.0698020186208498
"PL3-8",0.292303619831043,0.0282435359082368,-0.0438223702803321
"PL4-10",0.31079161476867,0.0361129669910771,-0.0415425019366976
"PL4-6",0.207827180139265,0.0768026858936798,-0.102802183448466
"PL4-8",0.275430321159884,0.0365728725318983,-0.0561481483148283
"PL5-10",0.327506566844012,0.0225877972678564,-0.0123918389911148
"PL5-6",0.288697315508759,0.0654103417951085,-0.0603104183212135
"PL5-8",0.363391206087228,0.0704296147291412,-0.0258159780948975
"SC1-10",-0.0207547838550446,-0.17704988749055,0.076065481247563
"SC1-6",0.039996545078494,-0.121710228258939,0.0224030192393031
"SC1-8",-0.0010255755954172,-0.162712300208137,0.0534911500385134
"SC2-10",-0.0252323393245232,-0.165236176409057,0.0787913949666308
"SC2-6",0.0479974818270554,-0.0836008093000171,0.0243233450525834
"SC2-8",0.00194051618884115,-0.141520049803622,0.0533527011129284
"SC3-10",-0.0393539106009018,-0.174558219482883,0.0658626263375011
"SC3-6",0.0411677132915245,-0.116231018086651,0.0162892689343998
"SC3-8",-0.0121075086521472,-0.155972469594569,0.0581861167228804
"SC4-10",-0.0327754364282588,-0.177371532551917,0.0718668002263428
"SC4-6",0.0399253291913461,-0.108144872508057,0.0169427058940228
"SC4-8",0.010834563535381,-0.150751341362141,0.0559389722892475
"SC5-10",-0.0313285154492742,-0.166377367986059,0.0663379938113487
"SC5-6",0.04271519360814,-0.102977882692018,0.0195987329854428
"SC5-8",-0.00603708820168057,-0.154264064146924,0.0431778031835875
"SH1-10",-0.066710178732999,-0.159840149315442,0.127820791182996
"SH1-6",0.00582081906057491,-0.123682907671176,0.0340823335614124
"SH1-8",-0.0588038099777706,-0.160899482469144,0.0929608407113668
"SH2-10",-0.064401904692593,-0.147949094836106,0.126679592749774
"SH2-6",-0.0128428907056451,-0.111284305413203,-0.00532436839811925
"SH2-8",-0.0583655208381253,-0.15619474561352,0.0954553346012278
"SH3-10",-0.0546497808511222,-0.152374648998937,0.112389735028642
"SH3-6",-0.00563537896416284,-0.108536336018059,0.039991735728258
"SH3-8",-0.0480535245642906,-0.151074427296187,0.0828268728736643
"SH4-10",-0.0484072142655694,-0.159925838197808,0.112573494085261
"SH4-6",0.0191319823032419,-0.0894462718628979,0.0335663831763897
"SH4-8",-0.0405731521790558,-0.144919023902349,0.108991788335142
"SH5-10",-0.0621717164801192,-0.154186634672362,0.131546039686004
"SH5-6",-0.00113895184082943,-0.103142867350637,0.0457699934957848
"SH5-8",-0.046484696885633,-0.154837522773523,0.0845320417325089
"SL1-10",-0.0455195951866692,-0.19767265908664,0.0519687346567709
"SL1-6",0.0112894409717547,-0.129209567106846,0.0215510304674562
"SL1-8",-0.0451557932413438,-0.184553294387113,0.0374285279427508
"SL2-10",-0.0534167730592096,-0.192394374319124,0.0623142464042325
"SL2-6",0.00290813280394443,-0.11787282231286,0.0210071819578907
"SL2-8",-0.0480886856610894,-0.165731607446725,0.0466992860633318
"SL3-10",-0.0434981157326401,-0.194833749230909,0.058783235663604
"SL3-6",-0.00567322317312603,-0.131911130493765,0.0237314312852843
"SL3-8",-0.0379357474424867,-0.176120670598076,0.0472315473968608
"SL4-10",-0.0372271542544488,-0.192974353842748,0.0629017887849163
"SL4-6",-0.00910633047297604,-0.130117901291633,0.023366283077976
"SL4-8",-0.0416129988802617,-0.179107889725903,0.0483236323896358
"SL5-10",-0.0472725316332075,-0.190363876301436,0.0685539505959992
"SL5-6",-0.00539112783647732,-0.134321230110297,-0.00401605485757089
"SL5-8",-0.0350505400507966,-0.167817510556001,0.0526035679684443
