"","Axis.1","Axis.2"
"BC1-10",-0.243671619130877,-0.0898612007761495
"BC1-6",-0.173257685273408,0.0585717362186839
"BC1-8",-0.274510001475749,-0.0729239609919741
"BC2-10",-0.221704079607452,-0.0959669101082218
"BC2-6",-0.168609274499491,0.0560419475473179
"BC2-8",-0.221663122735501,-0.0414056344924294
"BC3-10",-0.216613226862568,-0.0765849633302548
"BC3-6",-0.190019475515571,0.0381196471723509
"BC3-8",-0.292992527230601,-0.109114467508452
"BC4-10",-0.23278231265189,-0.118932443410071
"BC4-6",-0.197589815273307,0.0431553026071893
"BC4-8",-0.264072297045889,-0.0703936513494425
"BC5-10",-0.259172470670115,-0.112891118881517
"BC5-6",-0.182615742562913,0.0344154841181107
"BC5-8",-0.245554843542411,-0.0817777624272892
"PC1-10",0.21076796415807,-0.0603226184116012
"PC1-6",0.167120744934179,-0.104640226467316
"PC1-8",0.217116199778689,-0.0868407658507987
"PC2-10",0.219565765848127,-0.0491027930739613
"PC2-6",0.166681848119701,-0.077656059352079
"PC2-8",0.214791821751023,-0.0778240781909406
"PC3-10",0.241705708544245,-0.0616966485560752
"PC3-6",0.163432962750365,-0.108042423305434
"PC3-8",0.218624666179241,-0.0744949605276519
"PC4-10",0.208971698501061,-0.0308651757669435
"PC4-6",0.181291925560239,-0.0910612651578562
"PC4-8",0.200337591429135,-0.056621007300022
"PC5-10",0.207270411807803,-0.0646911749320634
"PC5-6",0.142594495474378,-0.11859963103875
"PC5-8",0.184992429869125,-0.0836048266477239
"SC1-10",0.0125528719586038,0.15210263985795
"SC1-6",0.0561655941072703,0.0938651587404169
"SC1-8",0.0289102820234311,0.133930526003456
"SC2-10",0.00878743515318907,0.144062388511987
"SC2-6",0.0629448345613904,0.0716365459813007
"SC2-8",0.028774476231802,0.116602271759206
"SC3-10",-0.00498778336213732,0.149727552253629
"SC3-6",0.0549299215176027,0.088075678816414
"SC3-8",0.0178462614363673,0.131112737454097
"SC4-10",0.00195566468957919,0.1518357248134
"SC4-6",0.0572759495635771,0.0864091337260276
"SC4-8",0.0366135449743795,0.124491098376581
"SC5-10",0.00180443599147533,0.141183677185682
"SC5-6",0.0548353005991482,0.0782745042141184
"SC5-8",0.0211534699266833,0.122302012497098
